"qc_domain","summary"
"Final dictionary concept nodes","194 concept nodes in final dictionary"
"Primary atlas layer","98 primary-atlas concept nodes"
"Treatment-context layer","28 treatment-context concept nodes"
"Infection-context layer","3 infection-context concept nodes"
"Measurement/sensitivity/supporting layer","20 sensitivity/measurement/supporting concept nodes"
"Exploratory layer","39 exploratory concept nodes"
"Context-only layer","6 context-only concept nodes"
"Redistribution note","PubMed abstract text is not redistributed in this dataset package"
