figure,panel,source_file,source_row,from,to,edge_type,edge_support,signed_balance,selection_rule
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,14,seropositive_RA,mortality,Biomarker-outcome,11,0.7142857142857143,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,15,anti_Ro_SSA,mortality,Biomarker-outcome,10,0.5,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,16,macrophage_cell,progression,Biomarker-outcome,10,-0.5,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,17,neutrophil_cell,progression,Biomarker-outcome,9,-0.3333333333333333,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,18,ECM_remodeling,mortality,Biomarker-outcome,8,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,19,TGFB_axis,progression,Biomarker-outcome,8,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,20,anti_Ro_SSA,progression,Biomarker-outcome,8,0.3333333333333333,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,21,macrophage_cell,mortality,Biomarker-outcome,8,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,22,fibroblast_cell,mortality,Biomarker-outcome,7,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,23,myofibroblast_cell,progression,Biomarker-outcome,7,-0.3333333333333333,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,24,ANA,progression,Biomarker-outcome,6,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,25,B_cell,mortality,Biomarker-outcome,6,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,26,B_cell,progression,Biomarker-outcome,6,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,27,MMP7,mortality,Biomarker-outcome,6,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,28,Fibrosis_pathway,AE-ILD,Biomarker-outcome,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,29,SP_D,progression,Biomarker-outcome,5,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,30,seropositive_RA,progression,Biomarker-outcome,5,-0.3333333333333333,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,31,IL17A,mortality,Biomarker-outcome,4,-1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,32,MMP7,progression,Biomarker-outcome,4,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,33,Oxidative_stress_pathway,progression,Biomarker-outcome,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,34,SP_D,mortality,Biomarker-outcome,4,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,35,TGFB_axis,mortality,Biomarker-outcome,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,36,ACPA_RF,AE-ILD,Biomarker-outcome,3,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,37,IL17A,progression,Biomarker-outcome,3,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,38,M2_macrophage,progression,Biomarker-outcome,3,-1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,39,MPO,mortality,Biomarker-outcome,3,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,40,Treg_cell,progression,Biomarker-outcome,3,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,41,myofibroblast_cell,mortality,Biomarker-outcome,3,-1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,42,ACPA_RF_high,mortality,Biomarker-outcome,2,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,43,Cytokine_inflammation,AE-ILD,Biomarker-outcome,2,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,44,SP_A,mortality,Biomarker-outcome,2,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,45,SP_A,progression,Biomarker-outcome,2,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,46,ACPA_RF_high,progression,Biomarker-outcome,1,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,47,ANA,AE-ILD,Biomarker-outcome,1,0,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,48,KL6,AE-ILD,Biomarker-outcome,1,1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,49,M2_macrophage,mortality,Biomarker-outcome,1,-1,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,50,MPO,AE-ILD,Biomarker-outcome,1,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,51,MPO,progression,Biomarker-outcome,1,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,52,Oxidative_stress_pathway,AE-ILD,Biomarker-outcome,1,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,53,SPP1_osteopontin,AE-ILD,Biomarker-outcome,1,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,54,SPP1_osteopontin,mortality,Biomarker-outcome,1,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,55,SPP1_osteopontin,progression,Biomarker-outcome,1,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,56,ACPA_RF,DLCO,Biomarker-B bridge,30,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,57,ACPA_RF,FVC,Biomarker-B bridge,28,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,58,ACPA_RF,UIP,Biomarker-B bridge,28,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,59,Fibrosis_pathway,UIP,Biomarker-B bridge,18,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,60,ACPA_RF,NSIP,Biomarker-B bridge,16,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,61,Fibrosis_pathway,NSIP,Biomarker-B bridge,11,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,62,KL6,FVC,Biomarker-B bridge,11,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,63,KL6,DLCO,Biomarker-B bridge,10,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,64,Fibrosis_pathway,FVC,Biomarker-B bridge,9,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,65,KL6,UIP,Biomarker-B bridge,9,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,66,Cytokine_inflammation,FVC,Biomarker-B bridge,8,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,67,ACPA_RF,ground_glass,Biomarker-B bridge,7,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,68,Fibrosis_pathway,DLCO,Biomarker-B bridge,7,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,69,Fibrosis_pathway,honeycombing,Biomarker-B bridge,7,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,70,anti_Ro_SSA,UIP,Biomarker-B bridge,7,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,71,neutrophil_cell,NSIP,Biomarker-B bridge,7,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,72,ACPA_RF,honeycombing,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,73,ANA,UIP,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,74,Cytokine_inflammation,NSIP,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,75,Cytokine_inflammation,UIP,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,76,anti_Ro_SSA,FVC,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,77,fibroblast_cell,UIP,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,78,neutrophil_cell,DLCO,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
